sweep, beta, subsystem_id, M, E/J
0, 0.400000, 8227, -1.000000, -3200.000000
1, 0.400000, 8227, -0.938750, -2860.000000
2, 0.400000, 8227, -0.893750, -2644.000000
3, 0.400000, 8227, -0.861250, -2516.000000
4, 0.400000, 8227, -0.843750, -2484.000000
5, 0.400000, 8227, -0.828750, -2396.000000
6, 0.400000, 8227, -0.795000, -2272.000000
7, 0.400000, 8227, -0.756250, -2232.000000
8, 0.400000, 8227, -0.780000, -2268.000000
9, 0.400000, 8227, -0.746250, -2244.000000
10, 0.400000, 8227, -0.767500, -2312.000000
11, 0.400000, 8227, -0.748750, -2168.000000
12, 0.400000, 8227, -0.737500, -2168.000000
13, 0.400000, 8227, -0.728750, -2160.000000
14, 0.400000, 8227, -0.710000, -2064.000000
15, 0.400000, 8227, -0.733750, -2116.000000
16, 0.400000, 8227, -0.750000, -2288.000000
17, 0.400000, 8227, -0.693750, -2268.000000
18, 0.400000, 8227, -0.673750, -2084.000000
19, 0.400000, 8227, -0.616250, -1972.000000
20, 0.400000, 8227, -0.600000, -1944.000000
21, 0.400000, 8227, -0.617500, -1924.000000
22, 0.400000, 8227, -0.643750, -1984.000000
23, 0.400000, 8227, -0.620000, -1944.000000
24, 0.400000, 8227, -0.575000, -1852.000000
25, 0.400000, 8227, -0.606250, -1920.000000
26, 0.400000, 8227, -0.597500, -1904.000000
27, 0.400000, 8227, -0.565000, -1820.000000
28, 0.400000, 8227, -0.576250, -1920.000000
29, 0.400000, 8227, -0.492500, -1824.000000
30, 0.400000, 8227, -0.437500, -1840.000000
31, 0.400000, 8227, -0.480000, -1796.000000
32, 0.400000, 8227, -0.403750, -1696.000000
33, 0.400000, 8227, -0.433750, -1716.000000
34, 0.400000, 8227, -0.420000, -1804.000000
35, 0.400000, 8227, -0.425000, -1812.000000
36, 0.400000, 8227, -0.390000, -1788.000000
37, 0.400000, 8227, -0.385000, -1772.000000
38, 0.400000, 8227, -0.382500, -1752.000000
39, 0.400000, 8227, -0.371250, -1732.000000
40, 0.400000, 8227, -0.377500, -1732.000000
41, 0.400000, 8227, -0.377500, -1792.000000
42, 0.400000, 8227, -0.375000, -1780.000000
43, 0.400000, 8227, -0.391250, -1876.000000
44, 0.400000, 8227, -0.420000, -1900.000000
45, 0.400000, 8227, -0.407500, -1872.000000
46, 0.400000, 8227, -0.433750, -1872.000000
47, 0.400000, 8227, -0.421250, -1868.000000
48, 0.400000, 8227, -0.422500, -1832.000000
49, 0.400000, 8227, -0.430000, -1796.000000
50, 0.400000, 8227, -0.410000, -1832.000000
